Titre,Price,Localisation,chambre,bain,surface,type,secteur,syndic,salon,surface_habitable,Âge du bien,Étage
A VENDRE - STUDIO SUR GAUTHIER,1 250 000 DH,Casablanca,1,1,49,"Appartements, à vendre",Gauthier,N/A,1,49,1-5 ans,4
Appartement en location 140 m² à Casablanca,8 000 DH,Casablanca,Nan,Nan,Nan,"Appartements, à louer",Maarif,N/A,1,140,N/A,4
appartements meublées à louer à ifrane,250 DH /Nuit,Ifrane,Nan,Nan,Nan,"Locations de vacances, à louer",La belle vue,N/A,N/A,N/A,N/A,N/A
Appartement à vendre 80 Sala Al Jadida,820 000 DH,Salé,2,2,64,"Appartements, à vendre",Sala El Jadida,N/A,1,80,Neuf,1
appartement meublée a hay salam agadir,200 DH /Nuit,Agadir,Nan,Nan,Nan,"Locations de vacances, à louer",Hay Salam,N/A,N/A,N/A,N/A,N/A
Appartement meublé résidence Nassim sécurisée,2 700 DH,Mohammedia,Nan,Nan,Nan,"Appartements, à louer",Nassim,N/A,1,60,N/A,Rez de chaussée
RAK-GU-1123 - Appartement à vendre à Hay Al Bahja,1 050 000 DH,Marrakech,3,1,124,"Appartements, à vendre",Hay Al Bahja,N/A,N/A,124,N/A,1
Appart urbain de 76m² avec vue dégagée sur Rabat,1 740 000 DH,Rabat,1,0,Nan,"Appartements, à vendre",Agdal,N/A,1,76,Neuf,4
شقق محفضة فاخرة متوفر طابق الأرضي وتالت,580 000 DH,Martil,3,1,67,"Appartements, à vendre",Toute la ville,580000,1,66,Neuf,3
Appt meublé 2 ch salon prêt av de France Agdal,7 000 DH,Rabat,Nan,Nan,Nan,"Appartements, à louer",Agdal,N/A,1,80,N/A,1
Sublime 75m² au 4ème étage à l'Agdal,1 670 000 DH,Rabat,1,0,Nan,"Appartements, à vendre",Agdal,N/A,0,75,Neuf,4
dernier étage 3ch terrasse,1 990 000 DH,Casablanca,3,2,132,"Appartements, à vendre",Racine,N/A,1,114,11-20 ans,7+
Appartement à louer 110 m² à Casablanca,4 500 DH,Casablanca,Nan,Nan,Nan,"Appartements, à louer",Sidi Maarouf,100,2,110,N/A,3
Studio avec Terrasse 57m2 a Les Princesses,1 279 000 DH,Casablanca,1,1,55,"Appartements, à vendre",Les Princesses,N/A,1,57,Neuf,5
شقة مفروشة للكراء,300 DH /Nuit,Sidi Ifni,Nan,Nan,Nan,"Locations de vacances, à louer",Toute la ville,N/A,N/A,N/A,N/A,N/A
Appartement à louer 60 m² à Sidi Maarouf Hay Hamza,3 200 DH,Casablanca,Nan,Nan,Nan,"Appartements, à louer",Sidi Maarouf,N/A,1,60,N/A,1
Appart 76m2 près Mc Do et Marjane allal fassi,890 000 DH,Marrakech,2,1,Nan,"Appartements, à vendre",Allal El Fassi,N/A,1,76,N/A,2
Studio à 2 mars pour location journalière,PRIX NON SPÉCIFIÉ,Casablanca,Nan,Nan,Nan,"Locations de vacances, à louer",2 Mars,N/A,N/A,N/A,N/A,N/A
Studio Prestigieux à Gauthier,PRIX NON SPÉCIFIÉ,Casablanca,Nan,Nan,Nan,"Locations de vacances, à louer",Gauthier,N/A,N/A,N/A,N/A,N/A
Studio pour location journalière à Racine,PRIX NON SPÉCIFIÉ,Casablanca,Nan,Nan,Nan,"Locations de vacances, à louer",Racine,N/A,N/A,N/A,N/A,N/A
Studio de Luxe à Palmier,500 DH /Nuit,Casablanca,Nan,Nan,Nan,"Locations de vacances, à louer",Palmier,N/A,N/A,N/A,N/A,N/A
Studio meublé avenue des far CTM tram,6 200 DH,Casablanca,Nan,Nan,Nan,"Appartements, à louer",Centre Ville,N/A,1,70,N/A,1
Appartement vue sur mer terrasse privée Imi Ouadar,400 DH /Nuit,Agadir,Nan,Nan,Nan,"Locations de vacances, à louer",Autre secteur,N/A,N/A,N/A,N/A,N/A
سفلية لاكاف و محال بسيدي مومن اقامة صباح,PRIX NON SPÉCIFIÉ,Casablanca,Nan,Nan,Nan,"Appartements, à vendre",Sidi Moumen,N/A,1,105,N/A,1
Appart 97m2 pres Mc Donald 5min Gueliz,1 115 500 DH,Marrakech,2,1,Nan,"Appartements, à vendre",Av Abdelkrim El Khattabi,N/A,1,97,N/A,2
RAK-GU-1115 - Appartement à vendre à Hay Mabrouka,1 190 000 DH,Marrakech,2,1,95,"Appartements, à vendre",Mabrouka,N/A,N/A,95,N/A,4
Studio Haut Standing en Résidence Fermée,5 000 DH,Mohammedia,1,1,Nan,"Appartements, à vendre",Quartier du Parc,N/A,1,55,N/A,1
وكالة امو حكيم لكراء الشقق المفروشة مع النت مجاني,250 DH /Nuit,Nador,Nan,Nan,Nan,"Locations de vacances, à louer",Hay Al Matar,N/A,N/A,N/A,N/A,N/A
شقة مفرشة مزيان للكراء الشهري,4 500 DH,Marrakech,Nan,Nan,Nan,"Appartements, à louer",Route de Casablanca,N/A,1,56,N/A,5
Appartement à vendre 73 m² à Temara,9 000 000 DH,Temara,2,1,73,"Appartements, à vendre",Riad Oulad Mtaa,N/A,1,73,1-5 ans,Rez de chaussée
Bureau 130 m2 HSDG a berb Omar,7 300 DH,Casablanca,Nan,Nan,Nan,"Appartements, à louer",Derb Omar,300,0,130,N/A,3
Appartement à vendre 62 m² à Marrakech,600 000 DH,Marrakech,2,1,Nan,"Appartements, à vendre",Hay Charaf,N/A,1,62,N/A,4
Appartement avec des meubles neufs,3 500 DH,Tanger,Nan,Nan,Nan,"Appartements, à louer",Tanja Balia,N/A,1,60,N/A,2
Belle appart au centre ville,250 DH /Nuit,Fès,Nan,Nan,Nan,"Locations de vacances, à louer",Agdal,N/A,N/A,N/A,N/A,N/A
Joli appartement à louer (non meublé),13 000 DH,Casablanca,Nan,Nan,Nan,"Appartements, à louer",Anfa,N/A,1,160,N/A,5
"Bel Appt De 2 Chambres ,78m²,Offres Limitée,",546 000 DH,Kénitra,2,2,85,"Appartements, à vendre",Bir Rami Ouest,N/A,2,78,Neuf,Rez de chaussée
Appartement en location 140 m² à Casablanca,8 000 DH,Casablanca,Nan,Nan,Nan,"Appartements, à louer",Maarif,N/A,1,140,N/A,4
شقه تماره شارع طارق بن زياد,920 000 DH,Temara,2,2,100,"Appartements, à vendre",Centre Ville,N/A,2,100,N/A,3
شقة مفروشة للعائلات جميع المعلومات في الوصف,200 DH /Nuit,Tanger,Nan,Nan,Nan,"Locations de vacances, à louer",Aviation,N/A,N/A,N/A,N/A,N/A
"Appartement Spacieux Centre Ville, Florence",1 100 000 DH,Fès,3,2,Nan,"Appartements, à vendre",Centre,N/A,2,168,Neuf,8
appartements meublées à louer à ifrane,250 DH /Nuit,Ifrane,Nan,Nan,Nan,"Locations de vacances, à louer",La belle vue,N/A,N/A,N/A,N/A,N/A
